Survived,Name,Age,SibSp,Parch,Ticket,Fare,Q,S,Pclass_2,Pclass_3,Sex_1,AgeGroup
0,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,0.014151057562208049,0,1,0,1,1,Adulto
1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,PC 17599,0.13913573538264068,0,0,0,0,0,Adulto
1,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,0.015468569817999833,0,1,0,1,0,Adulto
1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,0.10364429745562033,0,1,0,0,0,Adulto
0,"Allen, Mr. William Henry",35.0,0,0,373450,0.015712553569072387,0,1,0,1,1,Adulto
0,"Moran, Mr. James",25.14061971830986,0,0,330877,0.01650950209357577,1,0,0,1,1,Adulto
0,"McCarthy, Mr. Timothy J",54.0,0,0,17463,0.10122885832000206,0,1,0,0,1,Adulto
0,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,0.04113566043083236,0,1,0,1,1,Criança
1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,0.021730754366528396,0,1,0,1,0,Adulto
1,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,0.058694292654020104,0,0,1,0,0,Jovem
1,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,0.03259622914329302,0,1,0,1,0,Criança
1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,0.051822148727810165,0,1,0,0,0,Adulto
0,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,0.015712553569072387,0,1,0,1,1,Adulto
0,"Andersson, Mr. Anders Johan",39.0,1,5,347082,0.06104473451835265,0,1,0,1,1,Adulto
0,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,0.015330377421392339,0,1,0,1,0,Jovem
1,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,0.03122992013728673,0,1,1,0,0,Adulto
0,"Rice, Master. Eugene",2.0,4,1,382652,0.05684821399990475,1,0,0,1,1,Criança
1,"Williams, Mr. Charles Eugene",29.87763005780347,0,0,244373,0.025374310111545468,0,1,1,0,1,Adulto
0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,0.03513366015444757,0,1,0,1,0,Adulto
1,"Masselmani, Mrs. Fatima",25.14061971830986,0,0,2649,0.014102260811993537,0,0,0,1,0,Adulto
0,"Fynney, Mr. Joseph J",35.0,0,0,239865,0.050748620223090936,0,1,1,0,1,Adulto
1,"Beesley, Mr. Lawrence",34.0,0,0,248698,0.025374310111545468,0,1,1,0,1,Adulto
1,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,0.015671954672893913,1,0,0,1,0,Jovem
1,"Sloper, Mr. William Thompson",28.0,0,0,113788,0.06929138530460494,0,1,0,0,1,Adulto
